Date,dayNumber,positive,totalTestResults,death,positiveIncrease,totalTestResultsIncrease,deathIncrease
09/01/2021,1,620267,3484583,7170,2195,9795,19
09/02/2021,2,622344,3494944,7194,2077,10361,24
09/03/2021,3,624484,3505148,7209,2140,10204,15
09/04/2021,4,625853,3512651,7218,1369,7503,9
09/05/2021,5,627415,3520215,7225,1562,7564,7
09/06/2021,6,629259,3527659,7226,1844,7444,1
09/07/2021,7,630799,3532738,7242,1540,5079,16
09/08/2021,8,632699,3545286,7254,1900,12548,12
09/09/2021,9,634888,3554814,7274,2189,9528,20
09/10/2021,10,637556,3566869,7284,2668,12055,10
09/11/2021,11,638986,3573875,7293,1430,7006,9
09/12/2021,12,640380,3581765,7302,1394,7890,9
09/13/2021,13,642360,3588492,7320,1980,6727,18
09/14/2021,14,644419,3595605,7346,2059,7113,26
09/15/2021,15,646605,3606744,7349,2186,11139,3
09/16/2021,16,648642,3616319,7374,2037,9575,25
09/17/2021,17,650833,3625405,7390,2191,9086,16
09/18/2021,18,652252,3631823,7402,1419,6418,12
09/19/2021,19,653465,3637452,7405,1213,5629,3
09/20/2021,20,655244,3645660,7428,1779,8208,23
09/21/2021,21,656850,3651414,7441,1606,5754,13
09/22/2021,22,658905,3659766,7455,2055,8352,14
09/23/2021,23,660884,3669367,7472,1979,9601,17
09/24/2021,24,662814,3678652,7494,1930,9285,22
09/25/2021,25,664032,3684300,7503,1218,5648,9
09/26/2021,26,665469,3689925,7503,1437,5625,0
09/27/2021,27,667366,3695239,7522,1897,5314,19
09/28/2021,28,668958,3700539,7541,1592,5300,19
09/29/2021,29,671363,3708669,7543,2405,8130,2
09/30/2021,30,673517,3716775,7594,2154,8106,51
10/01/2021,31,675826,3724228,7601,2309,7453,7
10/02/2021,32,677130,3730800,7613,1304,6572,12
10/03/2021,33,678655,3735041,7626,1525,4241,13
10/04/2021,34,680935,3741003,7643,2280,5962,17
10/05/2021,35,682773,3745900,7665,1838,4897,22
10/06/2021,36,685554,3754430,7693,2781,8530,28
10/07/2021,37,688465,3763360,7733,2911,8930,40
10/08/2021,38,689305,3771457,7733,840,8097,0
10/09/2021,39,694307,3778147,7767,5002,6690,34
10/10/2021,40,694349,3782515,7767,42,4368,0
10/11/2021,41,696349,3787537,7790,2000,5022,23
10/12/2021,42,698810,3792813,7828,2461,5276,38
10/13/2021,43,701989,3801355,7840,3179,8542,12
10/14/2021,44,704839,3811537,7864,2850,10182,24
10/15/2021,45,707231,3818376,7891,2392,6839,27
10/16/2021,46,708713,3823227,7905,1482,4851,14
10/17/2021,47,710142,3828522,7917,1429,5295,12
10/18/2021,48,712125,3832495,7949,1983,3973,32
10/19/2021,49,714377,3837351,7971,2252,4856,22
10/20/2021,50,717774,3845563,7994,3397,8212,23
10/21/2021,51,720620,3852715,8029,2846,7152,35
10/22/2021,52,723729,3861554,8056,3109,8839,27
10/23/2021,53,725686,3866825,8078,1957,5271,22
10/24/2021,54,727506,3871277,8086,1820,4452,8
10/25/2021,55,729958,3876375,8108,2452,5098,22
10/26/2021,56,733343,3883061,8131,3385,6686,23
10/27/2021,57,737166,3892063,8163,3823,9002,32
10/28/2021,58,740461,3899231,8186,3295,7168,23
10/29/2021,59,743753,3909809,8245,3292,10578,59
10/30/2021,60,745906,3916064,8246,2153,6255,1
10/31/2021,61,747855,3920486,8258,1949,4422,12
11/01/2021,62,750251,3925743,8292,2396,5257,34
11/02/2021,63,752998,3931115,8308,2747,5372,16
11/03/2021,64,757147,3940611,8359,4149,9496,51
11/04/2021,65,760453,3948798,8407,3306,8187,48
11/05/2021,66,764091,3960088,8422,3638,11290,15
11/06/2021,67,766764,3966669,8482,2673,6581,60
11/07/2021,68,768646,3971832,8499,1882,5163,17
11/08/2021,69,771160,3976672,8520,2514,4840,21
11/09/2021,70,774997,3984649,8551,3837,7977,31
11/10/2021,71,778909,3994207,8584,3912,9558,33
11/11/2021,72,781960,4001579,8620,3051,7372,36
11/12/2021,73,785431,4009921,8641,3471,8342,21
11/13/2021,74,787640,4016512,8686,2209,6591,45
11/14/2021,75,789430,4019918,8701,1790,3406,15
11/15/2021,76,792168,4025805,8757,2738,5887,56
11/16/2021,77,796412,4034149,8783,4244,8344,26
11/17/2021,78,801014,4044055,8834,4602,9906,51
11/18/2021,79,804734,4051634,8878,3720,7579,44
11/19/2021,80,807961,4059324,8918,3227,7690,40
11/20/2021,81,809996,4065434,8950,2035,6110,32
11/21/2021,82,811813,4070520,8951,1817,5086,1
11/22/2021,83,814468,4078334,9012,2655,7814,61
11/23/2021,84,817376,4084505,9064,2908,6171,52
11/24/2021,85,820431,4092238,9081,3055,7733,17
11/25/2021,86,821859,4095819,9100,1428,3581,19
11/26/2021,87,823336,4101382,9108,1477,5563,8
11/27/2021,88,825403,4108307,9145,2067,6925,37
11/28/2021,89,826815,4112617,9151,1412,4310,6
11/29/2021,90,829437,4117747,9193,2622,5130,42
11/30/2021,91,832625,4124241,9276,3188,6494,83
12/01/2021,92,835767,4130751,9337,3142,6510,61
12/02/2021,93,838587,4136502,9344,2820,5751,7
12/03/2021,94,841354,4144621,9380,2767,8119,36
12/04/2021,95,842934,4148711,9380,1580,4090,0
12/05/2021,96,843851,4151307,9380,917,2596,0
12/06/2021,97,846892,4162417,9465,3041,11110,85
12/07/2021,98,849269,4167552,9495,2377,5135,30
12/08/2021,99,851785,4174053,9554,2516,6501,59
12/09/2021,100,854084,4181264,9627,2299,7211,73
12/10/2021,101,855997,4187491,9670,1913,6227,43
12/11/2021,102,857088,4191418,9670,1091,3927,0
12/12/2021,103,858382,4195419,9670,1294,4001,0
12/13/2021,104,860004,4199617,9740,1622,4198,70
12/14/2021,105,861940,4204162,9779,1936,4545,39
12/15/2021,106,864039,4210916,9841,2099,6754,62
12/16/2021,107,866477,4218161,9862,2438,7245,21
12/17/2021,108,868221,4223356,9896,1744,5195,34
12/18/2021,109,869259,4227358,9896,1038,4002,0
12/19/2021,110,870433,4231153,9918,1174,3795,22
12/20/2021,111,873784,4237723,10004,3351,6570,86
12/21/2021,112,877507,4245280,10038,3723,7557,34
12/22/2021,113,881118,4252719,10052,3611,7439,14
12/23/2021,114,886250,4266594,10074,5132,13875,22
12/24/2021,115,890738,4276944,10075,4488,10350,1
12/25/2021,116,894501,4285341,10075,3763,8397,0
12/26/2021,117,896403,4288555,10077,1902,3214,2
12/27/2021,118,902783,4298115,10169,6380,9560,92
12/28/2021,119,910128,4306787,10198,7345,8672,29
12/29/2021,120,919112,4321115,10240,8984,14328,42
12/30/2021,121,929275,4333271,10271,10163,12156,31
12/31/2021,122,938644,4345927,10293,9369,12656,22
01/01/2022,123,947048,4357043,10293,8404,11116,0
01/02/2022,124,954499,4364944,10293,7451,7901,0
01/03/2022,125,962777,4370995,10335,8278,6051,42
01/04/2022,126,971525,4384043,10354,8748,13048,19
01/05/2022,127,979437,4400629,10402,7912,16586,48
01/06/2022,128,989409,4413634,10425,9972,13005,23
01/07/2022,129,998163,4427214,10462,8754,13580,37
01/08/2022,130,1028965,4440018,10466,30802,12804,4
01/09/2022,131,1040510,4452862,10466,11545,12844,0
01/10/2022,132,1062568,4469913,10528,22058,17051,62
01/11/2022,133,1075115,4482210,10552,12547,12297,24
01/12/2022,134,1089494,4496390,10582,14379,14180,30
01/13/2022,135,1103720,4509634,10616,14226,13244,34
01/14/2022,136,1118458,4524737,10653,14738,15103,37
01/15/2022,137,1127304,4534673,10653,8846,9936,0
01/16/2022,138,1133675,4542692,10659,6371,8019,6
01/17/2022,139,1146740,4556191,10662,13065,13499,3
